                                ,parity_two_label  ,log10_parity_two_label,3-means_label_on_parity_two_label,log2_parity_two_label,3-means_label_on_log10_parity_two_label
00063d88244921d6ec46aeab6866a8e2,843.3985714285715 ,2.926032861059668     ,2                                ,9.72007076771776     ,0.0
00076733bdbce94d7e44eca84f1425f0,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
000a41cdca43be89ed62ea3abf2d0b64,491.59748043478265,2.6916096483477063    ,2                                ,8.941333711316139    ,0.0
0022f125b13bd7ccc91e793431c67a52,1608.33           ,3.2063751628670256    ,2                                ,10.651347736277016   ,1.0
00274d0721d26f867b2573377712cac9,1679.5382352941178,3.2251898951608533    ,2                                ,10.713848924081663   ,1.0
002a0330958a14deb23dcc84b5489e8a,212.83107142857145,2.328035031352865     ,2                                ,7.733564976533064    ,0.0
0033baadbd48d3f880e9b5a733bd4950,1.3786874999999998,0.1394658380354779    ,2                                ,0.4632954856470648   ,2.0
003a77d2aa15a5f93aa2cfe79b986c9e,0.4559105357142857,-0.3411203714968585   ,2                                ,-1.1331773458138286  ,2.0
0041051c73dcdd885d412a38e8b09fba,2647.657          ,3.42286172221183      ,0                                ,11.37050051993002    ,1.0
0041f01bcd7d0d1f9541cea6da79ad57,928.4375714285716 ,2.967752706895844     ,2                                ,9.858661095715323    ,0.0
004b0f451f7d96f6a572e9e76360f51a,1353.7626413043477,3.1315425250520947    ,2                                ,10.402759094305065   ,1.0
0059d4b1cf79efbc6e6ed50caee0448e,6437.452332142857 ,3.808714026210184     ,0                                ,12.652274129059174   ,1.0
005ccb378ced61c02105ed7ee0a62038,10.953636071428573,1.039558307635678     ,2                                ,3.4533379484085183   ,2.0
0062dc10471119b9e13da682216b190f,462.36963214285714,2.6649893024326285    ,2                                ,8.852902836325223    ,0.0
0064aa2e16c9d4b18d32a45d3073fce9,17.55242857142857 ,1.244337214374564     ,2                                ,4.133598751944742    ,0.0
006dcf7e3d0fa7c39b0f542ad0ec949e,8729.615555555556 ,3.9409951181869904    ,1                                ,13.091702404919303   ,1.0
0071b624d91ebe408b0585f8c4e34fd9,750.9836785714285 ,2.875630498411104     ,2                                ,9.552637743186796    ,0.0
008e7716c69009090ff6bd0048dc55f8,1374.365          ,3.1381020867517098    ,2                                ,10.424549486605162   ,1.0
00a62eb89afbf27e1addf8f5c437da9b,25.409024285714285,1.40498798832994      ,2                                ,4.667269071412505    ,0.0
00a981f385cd209d41e1efa1f5f29bac,7.003067142857143 ,0.8452882902252683    ,2                                ,2.8079869195786213   ,2.0
00ae4072f9b57d5d3cfe8919aff1b776,7913.983888888888 ,3.898395161803932     ,1                                ,12.950188412969446   ,1.0
00aefd1fc30c425075166ca051e57218,2214.5013857142862,3.345275956378682     ,2                                ,11.112766184645537   ,1.0
00b9b467c26540853360491401da61a5,3.904020678571429 ,0.5915121093444701    ,2                                ,1.964960694497481    ,2.0
00be590675417eba2bb2585790ac392d,0.0199384285714285,-1.7003090731883752   ,2                                ,-5.648304480216361   ,2.0
00d239e486137a4f7264adb4fb57d5ae,231.4092857142857 ,2.364380781813498     ,2                                ,7.854302946118006    ,0.0
00d3338cd6cdfa099ff29f036c77d93d,8904.111111111111 ,3.9495905707607664    ,1                                ,13.120255880312405   ,1.0
00d41fe5805aef9e2e3b63e1d9497edf,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
00e289099ea9bcef6a056a8c8ba8a3c0,357.8267717499999 ,2.5536728303295635    ,2                                ,8.483117520222306    ,0.0
00ec2992d59f85705eb8e1f4f1e01b3d,9199.818928571429 ,3.9637792796177145    ,1                                ,13.167389750894475   ,1.0
00f2eb377986e7decbc863931680a3b2,13.159365357142857,1.1192349448602312    ,2                                ,3.7180180081109104   ,2.0
00f4aca773e5675f35263dcd46b15bde,267.64079285714286,2.427552307760121     ,2                                ,8.064154212956998    ,0.0
00f969737ba4338bd233cd3ed249bd55,1785.8364915714285,3.251841693041333     ,2                                ,10.802384280240087   ,1.0
0101d013a916d903e8e618d7db1edbb3,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
0107f34364dfff8ab062193b2c71b4de,595.0414673913044 ,2.774547232000311     ,2                                ,9.216846400573798    ,0.0
010c9d7a6e9e6cac63f110915d9dd56e,0.5590899642857143,-0.2525183032957062   ,2                                ,-0.8388476461912944  ,2.0
01135f7a79d555bd0406f00fac22cbe2,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
01209700b6b45ca5fda7fbcb17765db1,228.4128357142857 ,2.358720505542519     ,2                                ,7.835499915348616    ,0.0
01225987412b6f8423cc68be93385f6e,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
01243b47967a3d012ea22e993355c833,184.98877857142853,2.267145384876986     ,2                                ,7.531293949217082    ,0.0
013a51ccada51812061ed2d6504e23a5,88.04007857142858 ,1.944680421467892     ,2                                ,6.460088527651587    ,0.0
0141b82b3d2a411d8c2168119e2d7452,0.9530137142857144,-0.0209008496284587   ,2                                ,-0.069431119587793   ,2.0
0151bedac526ee195bc52e4134cd80e7,9304.759347826086 ,3.9687051453052895    ,1                                ,13.183753122513677   ,1.0
0152d286cde406747d179c36a95c2fdc,1802.384797857143 ,3.255847515691696     ,2                                ,10.815691335045468   ,1.0
01657386753a1369dd286a3fee9062e4,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
0167ead7da1e981805564ca981f64bea,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
0176764afff2ea9f16a90fec9a516ed2,7343.413333333334 ,3.8658979737115367    ,1                                ,12.84223509084048    ,1.0
017bba0f995e6d9921253e5a59521435,1.4610713571428569,0.164671426924451     ,2                                ,0.5470266395255253   ,2.0
01813075a2ddb68ae1fc655ca003437e,6259.550555555556 ,3.79654315138144      ,0                                ,12.611843358026208   ,1.0
01843a0195183ca14246a88bf7bad482,8.717962857142856 ,0.9404150143751429    ,2                                ,3.1239910571066893   ,2.0
0191a0bf3412ed407ba669f8d69081ee,169.04336785714284,2.227998136595149     ,2                                ,7.401249605312116    ,0.0
01966a0fc52b2200a13f5f835275a919,8237.239285714286 ,3.915781682100704     ,1                                ,13.007945183215622   ,1.0
01979ca4966cc363ec3caeebd8d3fc31,79.23193928571429 ,1.8989002858745525    ,2                                ,6.308010209036319    ,0.0
019dc69c96737c3d62696c9acf3edf1b,664.9955714285715 ,2.8228187531068065    ,2                                ,9.377200922720412    ,0.0
01a74343f618546e9ad2a60849140317,360.57642857142855,2.556997332824669     ,2                                ,8.49416127846232     ,0.0
01af042093bf36119811b6e658e7a231,3290.9319285714287,3.5173188992036564    ,0                                ,11.684280469942916   ,1.0
01bc4d75a43a8293132d0be627341207,76.7115305        ,1.8848606476016072    ,2                                ,6.261371540215367    ,0.0
01bd0865ab694bc71d80b7d285d5777d,125.0285107142857 ,2.097009058080218     ,2                                ,6.96611330526996     ,0.0
01cf0326d2ab46b71fe4e2eac97b2b18,1.776111111111111 ,0.2494701311683818    ,2                                ,0.8287218375634832   ,2.0
01d142c43f3ce9a8c5ef7a1ecdbb6cba,48.41107857142857 ,1.6849447585839117    ,2                                ,5.5972653318731      ,0.0
01d494c2afa4960a236bf8412e2bd08a,8.169243214285714 ,0.9121818260449172    ,2                                ,3.030202435584267    ,2.0
01dd5feb463fa80f73809718f6ff735b,666.8296071428571 ,2.824014874199327     ,2                                ,9.381174350982544    ,0.0
0205e0724a8a912dde9ad7dfba2aee0b,4584.589357142858 ,3.661300441878749     ,0                                ,12.162576801700531   ,1.0
02066c116dbacc40ec5cca2067db26c0,375.4949674999999 ,2.5746041208298647    ,2                                ,8.552649762197504    ,0.0
020c63aa1ae5c6fe7aeb8e2fbef99a3c,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
021331d523ad3092616ff99cf0c6c355,355.22371428571427,2.550501951024488     ,2                                ,8.472584087173278    ,0.0
0216f9d35f2b695b904fffb312e3e611,19.57704821428572 ,1.2917472104044514    ,2                                ,4.291091349734924    ,0.0
02197ec055ea06c347bf1c6ceb6facf7,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
02223564bd2f5c20768e63cf28c785e3,376.28655660869566,2.57551870278717      ,2                                ,8.555687937696554    ,0.0
02257f12aa71e6622d2bf4d0f7111ebf,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
0227c865edaeda75e13eea36d57b7eed,10000.0           ,4.0                   ,1                                ,13.287712379549449   ,1.0
