hash,min_label,log_min_label
000a41cdca43be89ed62ea3abf2d0b64,4.39,1.47932922708708
0041051c73dcdd885d412a38e8b09fba,216.87,5.379298095680316
004b0f451f7d96f6a572e9e76360f51a,137.28,4.922022635739652
00d3338cd6cdfa099ff29f036c77d93d,2877.61,7.96471536749353
0107f34364dfff8ab062193b2c71b4de,49.37,3.8993429522707714
01135f7a79d555bd0406f00fac22cbe2,,
01813075a2ddb68ae1fc655ca003437e,560.35,6.328561588498037
01cf0326d2ab46b71fe4e2eac97b2b18,0.0,-inf
02223564bd2f5c20768e63cf28c785e3,0.0,-inf
02404a08ea36dd43362bbddc578c839d,691.21,6.538443684977784
0240f5bddc39ad2f0a786c811fc434a8,243.88,5.496676301039615
0262e0507796703aeed95b8eb6346828,149.07,5.004415994282339
02c1c6307289afd9f6ac81979b251df2,9.19,2.2181159363675955
02f3a178829aa3838b2ad9a14f986913,377.96,5.9347883699144255
0325f5bdfff16d1756f786bfdccd2d26,,
036b541db9d0839b0591d408ff4f77ae,89.58,4.495132080779154
03a43a7ea55217f53542ed3f029963af,1989.3,7.595538097042931
03ba29d5cb38d345357a74a7b5ccd759,87.28,4.469121341524815
040e4bdb9f4b0f58d3ec4d2f869363f4,144.29,4.971825163309164
045eeffb8750ff847de87bc37f922c02,524.07,6.261625263185248
04a7b805cf12ae898f723b735fa959df,0.99,-0.01005033585350145
04f6dd1892f3382e8356d107ba156256,1315.25,7.1817820406109165
05650550f21d60a3989cae43fb5ebd93,3308.59,8.104277395741944
05e5b5a37a0d7cb5e96c82b84bbdca66,443.27,6.094179065199779
05ff725eef6dbf5b1bff07bedd89d6c0,,
060ad8240dd120ae1017c31c17fa88e9,37.76,3.6312503412773
0616ca6b1e0ae639d12e19ed310963a9,1.59,0.4637340162321402
063486c4a139ae7a3874a5bac3459217,0.08,-2.5257286443082556
064ba3c61c5f105104edec8305853711,386.87,5.9580887192842615
068c64314f0f8405bc28bb4c52647145,4030.11,8.30154894985358
070fde310eca4ddf6967896052efcb30,11.98,2.4832385926873033
0746ab2982f4d8c28f10df0900857dd5,244.59,5.499583339342929
07c3cce524e2b85d8315ac4397ef08c4,,
07e94be3f47652c83090dbc7576c74d2,673.38,6.512309806256219
07ec99f550accd7c9f4cd1bccc8692a1,14073.93,9.552079428803737
080896c437245ac25eb6d3ad6df12c4f,0.0,-inf
081ed301081776dc61bdcab61b720bd1,1.29,0.25464221837358075
083030713683d8ab8e1d54372f241863,146.08,4.984154416846659
0832446f790662899f2275ccef2e09fd,442.37,6.092146635973891
08530caa5c9232f2ffc5163cf79b38e7,9.19,2.2181159363675955
08e7044c1542a366b7da389d31466d19,1712.45,7.4456803726298455
091ddccbec559d7d69382a717d207bae,130.29,4.86976273521484
09d8544494e54bc756438e69567b4ba7,83.58,4.425804257019769
0ba5ff25b8f67d50e7adcdde9716a5c2,39.59,3.678576561118039
0bd73276f63d46f1cc6798db1a259d5a,198.07,5.288620503569173
0c1229dd6d69a3435089228613a4586a,0.89,-0.11653381625595151
0c4355730d11bb18582d00f7266fdf27,168.48,5.126817048385665
0c737d87e8f42161dec9690eeac5b10c,2386.31,7.77750351877833
0c75119940f87f2bc1dc3f53aeedc02b,193.16,5.263518861005341
0d20586b3bdca1ae180b9bcc6c98950d,944.15,6.850285051827587
0d2bcd9d503431148295cd116b446609,,
0d4b99f6d05c9e993ea8655d355fa3b3,1964.7,7.583094840892118
0dedd031865493687e8521c5abe6bdcf,149.7,5.008633291425583
0e6aed984e421d24cd22c298c9fcc496,0.39,-0.941608539858445
0e9625ab8ed684c849b965bbb808efab,,
0ec6278d8757199a58df37ec3de4d6b8,4851.76,8.48709680470205
0ec838a0bcda738c193c8ca61ae86986,149.68,5.0084996819658345
0f60a51a548ae51010ff1263c131d81f,9.39,2.2396452932201716
0f877a1f984f35fdfdce011cb7152123,,
0fa39d9540a4021202b574be6cdcb99d,1362.33,7.216951748110693
0fdb5687a03275e0e2391484f1f7e743,0.09,-2.4079456086518722
10b460a4da6a4e199e946788a374032b,821.16,6.710717974752407
10b75b60d7019982ca42d9883b219e73,,
10bf6b1e7f77db46d9861b3308a2d9f8,0.3,-1.2039728043259361
115fa7f61704bc12b2373aa471bc434f,56.98,4.0427003290697625
116bae11adddfa555f2e21f8ee678de5,0.0,-inf
11a1def7af69d5da6df454daf893f3fa,5.29,1.665818245870208
11f49c7df37db8f226dbd1dfdf8e5a65,40.69,3.7059823620135983
11f9fb52d305af8fb00e7f6e7071c820,8.19,2.102913897864978
128fdc03329b57efb97c3cdf6ed7e35d,565.0,6.336825731146441
129b37f1c8ffa0b7a58530ed39dfc092,,
12c257c6abef8d6bf4c1c0c66a495f34,0.09,-2.4079456086518722
12d835f3858b8c94cb1db35ce694fda3,55.69,4.019800597601577
13002f51482d0b78e9f98fae1672d99a,,
1335cf5a529c51c86733b20450a41ac1,11.58,2.449279472144849
13538df69c3bc26707750ba55d90c9b0,449.77,6.108736340991447
135eb593af65aa579aede02fd289a6f9,,
139c1262e5901a684005ffad897aa7eb,29.89,3.3975239762958465
13e37598f6e221b25f6cf1af90db0de9,2.59,0.9516578757114463
13fe83cc7a856ff2358f76b96daf51e3,11.89,2.4756977107026903
140aa37221467a66d5711b760a19ee0f,,
140f56ae75d27f8f64392ddbea8fdf20,329.28,5.796908452645685
141919813972d24c105018164e96cb1e,162.18,5.088706829516411
144a6ccc86727263d42c271072145d3c,4.79,1.5665304114228238
14c33d4be35ed33f2c67498f8334993f,,
1527378fc216e0506bf8b63d0fad56be,,
1555418459e49dc96cf48a066ac1350d,,
1575dcf4547f5854850b971013683c37,1021.35,6.928880560597086
15ba9eb4b0035fb6ed11a03c7df21870,,
15bcd441a77aa0cb12f8794b707b744b,2049.91,7.6255511687296895
166e1e5a9f63fcf94ddae8533fa2a090,583.27,6.368650200926575
167b736959aa8c9e5d38409755277a53,2319.83,7.749249186113479
1686dc3b12cee3c8fb6c796183457585,,
16ad0f4e6759ead8d0cff5349f0136a2,,
17d5423cd842ac0644b5d28a4be15e55,,
18603b131f8b997e617d6654302c3768,0.69,-0.37106368139083207
18d4124324b56e434118f9ef72198d84,54.28,3.9941558349666684
18d6a042cec732fbf3aa175852cff0c4,38.09,3.6399517804905126
18ed5aceb13d6c8e5b8fe7e4e6c43673,0.99,-0.01005033585350145
198f94ece5fdc9536a28afc3063bdcf6,,
19969dbd50d4cd01c7e8323377364a4e,59.69,4.089164502180559
19c3796341c9361f30fc4d03d1914fb6,1150.45,7.047908449165542
19e4774270745b00ed6142edcb8965fc,,
1a05f90f3850a3a1c73611adc02d5ce7,335.78,5.816456183608252
1a224b56a81217f8997d97063a504455,65.28,4.178685710655851
1a3254cb7b54789fdd4d56bfaaa38df7,,
1a3320d3cf32f211b3e7b875745713e2,262.08,5.568649800664705
1a3400dc32a3859afb20566a4ded9606,131.88,4.88189241820353
1b534fcd80ac9a0f5032033edd298436,40.09,3.6911269266544156
1b8c45c42a818db8f62bcbfd6f52c881,20.39,3.015044584586364
1bb9929010e0c209f1e59dedba54d9ad,167.36,5.120147180876558
1be909b58fd0fb4efbbd35a2c84831ef,254.18,5.538042677453924
1c35c510ad106bfcdbc76ff49e710ce6,37.79,3.6320445173613978
1cd3df6f4037f2b36f24c067afe8d379,0.8,-0.2231435513142097
1ce81dbba1292bf791e194b17aa2a219,2425.41,7.793755861245444
1cea27ee23efc1e777b09d0ba458f43f,367.78,5.907484933312707
1d1a84a016853e81558971f7410b3d0b,2479.22,7.815699273559424
1d3a49fedd0d7f406bdc07f5a2cc76bf,0.09,-2.4079456086518722
48a5850f06cbdc6fc21836fa0f933450,6.79,1.9154509415706047
