hash,#Nodes,#Edges,#ConnectedComponents,MeanDegreeCentrality,MinDegreeCentrality,MaxDegreeCentrality,VarDegreeCentrality,EntropyDegreeCentrality,DegreeAssortativity,Centralization,MeanEigenvectorCentrality,MinEigenvectorCentrality,MaxEigenvectorCentrality,VarEigenvectorCentrality,EntropyEigenvectorCentrality,MeanPageRank,MinPageRank,MaxPageRank,VarPageRank,EntropyPageRank,MeanKatzCentrality,MinKatzCentrality,MaxKatzCentrality,VarKatzCentrality,EntropyKatzCentrality,MeanBetweennessCentrality,MinBetweennessCentrality,MaxBetweennessCentrality,VarBetweennessCentrality,EntropyBetweennessCentrality,#Communities,MeanCommunitySize,MinCommunitySize,MaxCommunitySize,VarCommunitySize,EntropyCommunitySize,ClusterImbalance,IsProperClustering,IsSingletonClustering,IsOneClustering,EdgeCut,EdgeCutFraction,Modularity,HubDominance,GlobalIntrapartitionDensity,GlobalClusteringCoefficient
a52d379e0f0cba6059097c7133014958,495310,3655080,1,14.758757141991884,2.0,579.0,805.993934891072,2.1686950203869872,0.1180518758684716,0.0011392018252429,0.00088637263164,2.875921725571324e-06,0.0287168101145641,1.2332811928958674e-06,13.112939108041616,2.0189376350164524e-06,8.869166887275779e-07,5.464104264663011e-05,5.559620675724503e-12,9.929097801076011,0.0013896934891649,0.001230939450441,0.0071931828119017,8.76896411889319e-08,8.676246247963396,47243808.66041096,0.0,15813889786.23337,4.254223068848277e+17,7.831295624463149,495310,33020.666666666664,19789.0,51391.0,91048385.68888888,2.70805020110221,1.5563126802444458,True,False,False,115293.85617550855,0.0315434562787978,0.8780759347051457,0.0184987605050249,0.0003904837403448,0.3420915486840962
7b46d0fe2bf7fade14e64e57c5d49e45,332082,1543450,1,9.295595666130655,3.0,18.0,12.230153209813489,2.169437133738307,0.4574439501072856,2.6212345123286035e-05,0.0011462819650798,1.6661036690822996e-05,0.0065172704766457,1.6973420933886805e-06,8.993305980454744,3.011304436855957e-06,1.80385718725422e-06,5.436973662330966e-06,6.564987628979933e-13,8.769510411810584,0.0015595722852677,0.0005617630957625,0.0041682129986058,5.790387238806758e-07,8.342417072758645,25378414.980223782,0.0,5163281648.313925,1.3173226408308336e+16,9.732335311957804,332082,5534.7,912.0,10302.0,5359151.609999999,4.094344562222102,1.861246585845948,True,False,False,45917.43757401556,0.0297498704681172,0.9521313824082522,0.0038926470554299,0.0013906253029201,0.4754625206288543
290a846ceaa8817ce814d6b96ed554ea,1750275,158942295,612901,181.6197968890603,0.0,685.0,87004.36110327684,1.634708984702276,0.7733002542271592,0.0002876304823531,6.332778261776188e-05,0.0,0.046620714975934,5.673283815674951e-07,8.008631788014348,4.014685081468983e-07,8.570081844281614e-08,1.6522567114430876e-06,8.954492180803919e-14,7.026626492880466,0.0007526082534034,0.0006765885222278,0.00098789229929,4.919606527902842e-09,6.346378085481894,40512814.84060882,0.0,15945905073.676996,5.299160090863327e+16,9.41658996812081,1750275,2.855601074842518,1.0,112876.0,93646.56942479104,0.0092327790398757,37625.33203125,True,False,False,1152217.9445184355,0.0072492846823335,0.7651525240403159,0.999956021421684,0.0008223346652385,0.5364370711369756
84475a8e292d5ae0e0732f318500d417,13409,150540,2,22.453575956447164,0.0,180.0,310.1319524970459,2.170528978584532,0.0081348883163503,0.0117690118909671,0.006566981909928,0.0,0.0764395064810604,3.14515253863851e-05,9.503681402280014,7.457204935041587e-05,1.118651651875606e-05,0.0007838146907917,4.049376768864844e-09,9.503681402280014,0.0069133571483424,0.000441460508974,0.0556429302290774,2.6782269731169483e-05,9.503681402280014,96198.62360608004,0.0,17178198.36378383,118713941780.6274,6.767157742786,13409,1676.125,1.0,3353.0,1128653.609375,2.079441541679836,1.999403715133667,True,False,False,69033.13992000144,0.458570080510173,0.6838654884861048,0.1997272678611194,0.0078787005040808,0.4328585077738209
d0a4e3b4b89dcdb4c4f79a2becfce170,54649,130887,5,4.790096799575473,0.0,148.0,8.92940768152995,1.1358912283123257,0.1059559889043424,0.0026207699489866,0.0006952332931842,0.0,0.4121373474784754,1.7815247165696857e-05,10.828775377734544,1.829831188480992e-05,2.744789474647295e-06,0.000334511233402,5.858460861672202e-11,10.287494089345282,0.0042241136196828,0.0030122990145073,0.0329058484530192,4.5546062565810163e-07,8.36160795503566,2118272.3499556617,0.0,2132647906.3931315,322690312475525.1,8.050073678498379,54649,748.6164383561644,1.0,2964.0,228256.40082567083,4.2524787737204495,3.957276344299317,True,False,False,4973.65487499999,0.037999609395891,0.9446277936655572,0.0549565096067764,0.004387855966306,0.3961608616346738
5bc33d4df3df92e77ab0e92a25f8b596,2256290,16900682,1,14.980948370998409,2.0,1605.0,2216.064619816899,2.0378144174394244,0.0705742452120931,0.0007047097708404,0.0004052319713794,6.016219202870373e-07,0.0233532350463726,2.7899248838909894e-07,14.629232429665018,4.432054390171443e-07,2.012451678987347e-07,3.2422477846194195e-05,7.105728334183609e-13,10.326014074988077,0.0006595665840459,0.0006293523546756,0.0036957044527766,8.17736022715556e-09,9.466379972609696,352494577.509554,0.0,369420072193.4282,8.408000896515432e+19,7.586465210508885,2256290,112814.5,63591.0,163532.0,879419344.55,2.995732273553991,1.449558973312378,True,False,False,482309.9107165462,0.0285378963237428,0.9013118959835222,0.0151622424930059,0.0001180633953071,0.3544688612872405
6eab13500990fd9c1c94f9cf2251303b,95816,354645,4,7.402625866243634,0.0,49.0,62.37920075281845,1.9621877361581577,0.2040032818965392,0.0004341716221073,0.000250258830675,0.0,0.2302013634773616,1.0374040802381531e-05,11.46541943390217,1.0436392528291458e-05,1.565500542706855e-06,5.9457338601495824e-05,8.498592510850737e-11,11.410222880218663,0.0027272823795937,0.0009264813083414,0.0120548493959127,2.998601106669812e-06,11.070231668675287,1007663.655656155,0.0,223084523.4514625,27696443170648.715,8.88827724159198,95816,731.4198473282443,1.0,1918.0,81074.90006409882,3.860447677845681,2.620218515396118,True,False,False,8798.911994000815,0.0248104780668014,0.9630980592082666,0.0904152942727301,0.0086346398910661,0.3619821071831842
08abc7d4b5c60faee452d15d89e62d53,18398,1078848,1,117.27883465594088,5.0,402.0,7177.016826731983,3.4191568455038475,0.3738657117325195,0.0155749416431023,0.0044331056207542,2.47210453144579e-09,0.0230462168599771,3.470130865676964e-05,9.22893133122096,5.4353734101532776e-05,1.1987009119213023e-05,0.0001695079336266,8.76021144139609e-10,9.18640034398281,0.0052560236391755,0.000336958971619,0.0174983343743777,2.6727949605960743e-05,8.067287359114063,331238.444567267,0.0,179433704.74175432,36867971962577.52,5.924198717500874,18398,735.92,421.0,1642.0,96087.6736,3.107972275978608,2.23097825050354,True,False,False,66919.3397756449,0.0620285153938691,0.9065380327695224,0.4412969058633531,0.1279618168401551,0.5991487883262399
f386dcf0146780dbe494e0723f8d6145,15233,102000,2,13.391977942624566,0.0,32.0,31.09554911734975,1.970535986586252,-0.055563289644063,0.0012226347768225,0.0069316122418768,0.0,0.0243482237301718,1.759970242740278e-05,9.631219406135823,6.564328760532434e-05,9.847042604871006e-06,0.000202688815935,8.313433077753204e-10,9.631219406135823,0.0,0.0,0.0,0.0,0.0,122793.74038257037,0.0,7356428.562811259,94350179028.25038,7.800296983626239,15233,585.8846153846154,1.0,895.0,43800.178994082846,3.2047775241322567,1.527303695678711,True,False,False,37532.36314900183,0.3679643445980571,0.7776196901643191,0.0906662745022624,0.014959467980421,0.5321810127681751
f3da6361fdbfb9af809bcdbf13de3deb,2106,7089,1,6.732193732193732,2.0,58.0,32.31289518753906,1.3771936928296264,0.3852021870041362,0.0244217560592962,0.0092538771979578,3.167424189981248e-18,0.1886988851334944,0.0003891995649722,7.651887433263509,0.0004748338081671,0.0002170251633321,0.0025469809123852,5.6317785417473935e-08,7.65188743326351,0.0189818927020149,0.0084564594420276,0.1065351961858179,0.0001145215576163,7.651887433263509,14339.598880326725,0.0,867041.2663113516,1734671933.586702,6.919585219829296,2106,175.5,86.0,294.0,4339.083333333333,2.484906649788001,1.670454502105713,True,False,False,1418.3305760000003,0.200074844971082,0.7595386163633153,0.0845754681547058,0.0286009829204463,0.3641101363675845
5a2dbbe1331ef5f53d8eb11ed5db7b88,72078,445674,1,12.36643636060934,2.0,28721.0,11828.56815786847,1.906714765251004,-0.0290539754033389,0.3983678786128689,0.001621278876906,4.368008837957105e-10,0.7018927175998821,1.12453136784057e-05,7.368795188534489,1.387385887510657e-05,2.9497383748190906e-06,0.0443830410289011,2.774756549517658e-08,8.264193930447119,0.0037164780713096,0.0036943195328439,0.0696200897347541,6.164962058163682e-08,6.104071812356391,224197.72494076748,0.0,5466439484.34559,418982909737054.1,2.8585805117797096,72078,1848.1538461538464,1044.0,12354.0,3030134.899408284,3.628015636870158,6.6814494132995605,True,False,False,67400.44459203602,0.1512326153018484,0.8430169557492575,0.1123354592689492,0.0030817810308183,0.5070355250586294
