ID,#Nodes,#Edges,#ConnectedComponents,MeanDegreeCentrality,MinDegreeCentrality,MaxDegreeCentrality,VarDegreeCentrality,EntropyDegreeCentrality,DegreeAssortativity,Centralization,MeanPageRank,MinPageRank,MaxPageRank,VarPageRank,EntropyPageRank,MeanKatzCentrality,MinKatzCentrality,MaxKatzCentrality,VarKatzCentrality,EntropyKatzCentrality,MeanBetweennessCentrality,MinBetweennessCentrality,MaxBetweennessCentrality,VarBetweennessCentrality,EntropyBetweennessCentrality,#Communities,MeanCommunitySize,MinCommunitySize,MaxCommunitySize,VarCommunitySize,EntropyCommunitySize,ClusterImbalance,IsProperClustering,IsSingletonClustering,IsOneClustering,EdgeCut,EdgeCutFraction,Modularity,HubDominance,GlobalIntrapartitionDensity,GlobalClusteringCoefficient
ca23101b1c4e30381664f77afeeda208,106856,235261,4499,4.403327843078536,0.0,389.0,7.750031599713645,1.5235638597188097,0.0882804194100403,0.0035993535345751,9.02354637898131e-06,1.4037583289660854e-06,0.0004883047885954,2.136328616863709e-11,11.21538819143025,0.0030463632734327,0.0026021936752834,0.0286710495709284,7.805966605414722e-08,10.897463414814531,1459667.9409814598,0.0,3287252589.561988,167428863811181.3,10.928684871885396,106856,23.43847334941873,1.0,3049.0,42913.35172006459,0.126015891011503,127.04166412353516,True,False,False,35987.99999999369,0.1529705306021554,0.8671718259437394,0.9868187911192968,0.0020881575354786,0.3113002692608356
77130c1a328111484093506d84bff825,320,813,61,5.08125,0.0,7.0,6.443398437500001,1.3526425397317468,0.4718272246584549,0.0060928414075059,0.002626953125,0.00046875,0.0035840760782513,1.1661632867174877e-06,4.996299220498629,0.0494744955842609,0.0052133251760814,0.0781802654331262,0.0006772742866829,4.98763488074163,630.2235322342653,0.0,1911.884393278679,183250.79490931847,4.951360029177287,320,3.404255319148936,1.0,15.0,13.900407424173832,1.309054191039533,3.75,True,False,False,54.3333333333331,0.0668306683066827,0.8568064644061074,0.920959359789147,0.4691714836223506,0.4249109702075914
60632fce4132ceacfddb8d0764befd96,1243116,5213647,462363,8.388029757480396,0.0,4342.0,3676.607185200741,1.7508563103202794,0.7367614167952257,0.0034861116837455,5.501117786966004e-07,1.206645236647264e-07,0.0012006945046439,5.0139603235623496e-12,9.093191504146493,0.0008956437848093,0.000887064632298,0.0198517659558402,2.252368497346562e-09,5.540556162495454,9809982.262164112,0.0,302195719238.74945,4.566194395298423e+17,6.016970635251064,1243116,2.688411282055718,1.0,127518.0,77276.42618895584,0.0010934068147614,42506.0,True,False,False,211631.20199828097,0.0405917780774726,0.835501525554573,0.9999239752499326,0.0002479247836241,0.457352557977938
3f6c7cc2ebcd210aa7d0b10169162c43,651875,35866255,1,110.04028379674016,2.0,30300.0,235448.10345871132,4.651773253640139,0.0705583224346536,0.046320317264906,1.5340364333652971e-06,3.2650858159582666e-07,0.000514665711783,3.6865760596166367e-11,13.345499194804672,0.0012367239151709,0.0012234308453659,0.0085158842366124,4.550391009446471e-09,13.315097802358236,2232586.163041117,0.0,107255297303.72624,2.581107478374158e+16,0.9040200965571512,651875,16714.74358974359,1265.0,139927.0,812137070.6009204,3.6635616461296414,8.371342658996582,True,False,False,1667160.1448115616,0.0464826936855147,0.7176072269640926,0.1954745535064574,0.0010386140482377,0.7089377225744811
0cca2c91974f5ad8064965cd97bcea74,51465,287378,456,11.167900514913049,0.0,551.0,560.2685742086978,2.869285741373581,0.0406916084044961,0.0104915820155305,1.931515032740923e-05,2.9146021568055963e-06,0.0008968836534764,1.2188389702246383e-09,9.993128051004136,0.0041281230632207,0.0034500842951059,0.0432005689416389,2.389281020275424e-06,8.46606732312713,905350.638987776,0.0,1420809717.3891149,712304662656281.9,3.926954382883084,51465,105.03061224489797,1.0,1509.0,143056.37253227824,0.939623835819866,14.235849380493164,True,False,False,6685.190476190625,0.023262707918458,0.94146130107782,0.9527793510537244,0.0074651606266367,0.4803700165030835
a054dfb1a14d242d4d3e10b2abccdd6e,225926,1659401,1,14.689774527942776,2.0,48.0,96.56209076031293,2.406737864942575,0.4204106866072464,0.0001474482416963,4.426228056974408e-06,1.3908181857793678e-06,2.5015758663545266e-05,1.4606408809031636e-11,12.327962791038562,0.0014959343946914,0.0004540319464401,0.0078557555666265,2.1884083437535616e-06,12.327956654983565,25788559.956728444,0.0,2205240340.9371624,2.708499841406512e+16,11.2577616097807,225926,4911.434782608696,972.0,7382.0,2948247.854442344,3.828641396489093,1.5028501749038696,True,False,False,33718.72380951785,0.0203198164937334,0.9486671943523618,0.0121136473810133,0.0025933919200236,0.456223399635195
b870acb8393c23186e03496a68ef5f24,2835,7638,1,5.3883597883597885,4.0,59.0,29.25975868536716,1.0780198980464606,0.0360351730375302,0.0189466425179217,0.000352733686067,0.0002149585647965,0.0036328061516796,1.120637598396242e-07,7.949797216162376,0.0156232394467606,0.0100916493282779,0.1204269025817136,0.0001086480752562,7.949797216162376,23869.290272801914,0.0,2042838.2513499665,16883809275.9989,6.469704110361632,2835,257.72727272727275,85.0,392.0,9972.380165289256,2.3978952727983707,1.5193798542022705,True,False,False,1145.0666666666702,0.1499170812603653,0.7768265778474678,0.1325130723030782,0.0159757760430223,0.3222444193520368
ec6ceeb1325ed0c99db7f1447dc68b66,67425,204465,1,6.0649610678531705,2.0,262.0,308.2034478386771,0.7608035918031927,0.4068017196701506,0.0037961892869466,1.4831294030404127e-05,7.487255344585309e-06,0.0005527970863484,6.947997379180841e-10,9.381402028122892,0.003392023121876,0.0029575017313653,0.0336981526856617,3.3254731710623704e-06,4.634033029893236,472079.3248666668,0.0,2993043554.6571684,274626850043990.1,3.0680120236447856,67425,1644.5121951219512,182.0,5274.0,933995.6157049376,3.451363363890448,3.2060790061950684,True,False,False,38138.05813952239,0.1865260956130505,0.7927742360695375,0.0959124713314723,0.0021267322135024,0.3883001824025015
8399051f45e233c13b641116179e8976,1955,40915,433,41.85677749360614,0.0,1264.0,5249.203016725426,3.5465040063156184,-0.1747712154872933,0.6388142864208952,0.0004154342266207,7.672634271099745e-05,0.0380358663608999,1.8009821415893017e-06,6.0996283572386005,0.0217605592457381,0.0200563463030923,0.1876091866702152,3.7987012719368846e-05,5.92296812911121,2766.5180641836355,0.0,101374.94724587323,108852831.48253772,3.141536505524144,1955,4.383408071748879,1.0,688.0,1301.496496008365,0.1951693885717594,137.60000610351562,True,False,False,1911.633327783229,0.0467220659362881,0.4679821186070275,0.9969043816674196,0.0680313823281926,0.7129332059411101
e02cc08183436cf370b565fbf365f3fe,1012,15802,13,31.229249011857707,0.0,86.0,275.4316346138824,3.564679456177889,0.3805518838697589,0.0558446007213815,0.00097818275555,0.0001482213438735,0.0033328395819638,2.266766115305233e-07,6.890218553604678,0.0,0.0,0.0,0.0,0.0,6165.389966149597,0.0,227129.66839993896,408248709.61547816,3.674246576800142,1012,44.0,1.0,155.0,2972.0,1.8390211812571493,3.5227272510528564,True,False,False,2550.046204906192,0.1613749022216296,0.7586559947017043,0.7998777803239724,0.219608123569794,0.6004516633370972
